Date,Price,Price_lag1,Price_lag2,Price_lag3,Price_lag4,Price_lag5,Price_lag6,Price_lag7,Price_lag8,Price_lag9,Price_lag10
2014-04-04,101.14,100.29,99.62,99.74,101.58,101.67,101.28,100.26,99.19,99.6,99.46
2014-04-07,100.44,101.14,100.29,99.62,99.74,101.58,101.67,101.28,100.26,99.19,99.6
2014-04-08,102.56,100.44,101.14,100.29,99.62,99.74,101.58,101.67,101.28,100.26,99.19
2014-04-09,103.6,102.56,100.44,101.14,100.29,99.62,99.74,101.58,101.67,101.28,100.26
2014-04-10,103.4,103.6,102.56,100.44,101.14,100.29,99.62,99.74,101.58,101.67,101.28
2014-04-11,103.74,103.4,103.6,102.56,100.44,101.14,100.29,99.62,99.74,101.58,101.67
2014-04-14,104.05,103.74,103.4,103.6,102.56,100.44,101.14,100.29,99.62,99.74,101.58
2014-04-15,103.75,104.05,103.74,103.4,103.6,102.56,100.44,101.14,100.29,99.62,99.74
2014-04-16,103.76,103.75,104.05,103.74,103.4,103.6,102.56,100.44,101.14,100.29,99.62
2014-04-17,104.3,103.76,103.75,104.05,103.74,103.4,103.6,102.56,100.44,101.14,100.29
2014-04-21,104.37,104.3,103.76,103.75,104.05,103.74,103.4,103.6,102.56,100.44,101.14
2014-04-22,102.13,104.37,104.3,103.76,103.75,104.05,103.74,103.4,103.6,102.56,100.44
2014-04-23,101.44,102.13,104.37,104.3,103.76,103.75,104.05,103.74,103.4,103.6,102.56
2014-04-24,101.94,101.44,102.13,104.37,104.3,103.76,103.75,104.05,103.74,103.4,103.6
2014-04-25,100.6,101.94,101.44,102.13,104.37,104.3,103.76,103.75,104.05,103.74,103.4
2014-04-28,100.84,100.6,101.94,101.44,102.13,104.37,104.3,103.76,103.75,104.05,103.74
2014-04-29,101.28,100.84,100.6,101.94,101.44,102.13,104.37,104.3,103.76,103.75,104.05
2014-04-30,99.74,101.28,100.84,100.6,101.94,101.44,102.13,104.37,104.3,103.76,103.75
2014-05-01,99.42,99.74,101.28,100.84,100.6,101.94,101.44,102.13,104.37,104.3,103.76
2014-05-02,99.76,99.42,99.74,101.28,100.84,100.6,101.94,101.44,102.13,104.37,104.3
2014-05-05,99.48,99.76,99.42,99.74,101.28,100.84,100.6,101.94,101.44,102.13,104.37
2014-05-06,99.5,99.48,99.76,99.42,99.74,101.28,100.84,100.6,101.94,101.44,102.13
2014-05-07,100.77,99.5,99.48,99.76,99.42,99.74,101.28,100.84,100.6,101.94,101.44
2014-05-08,100.26,100.77,99.5,99.48,99.76,99.42,99.74,101.28,100.84,100.6,101.94
2014-05-09,99.99,100.26,100.77,99.5,99.48,99.76,99.42,99.74,101.28,100.84,100.6
2014-05-12,100.59,99.99,100.26,100.77,99.5,99.48,99.76,99.42,99.74,101.28,100.84
2014-05-13,101.7,100.59,99.99,100.26,100.77,99.5,99.48,99.76,99.42,99.74,101.28
2014-05-14,102.37,101.7,100.59,99.99,100.26,100.77,99.5,99.48,99.76,99.42,99.74
